,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_n_jobs,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
767,0.45212345123291015,0.009457490341260744,0.11389303207397461,0.006017309636596171,balanced,gini,6,log2,100,-1,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 100, 'n_jobs': -1, 'random_state': 42}",0.9936791480590862,0.10903469598076262,0.7515630367571281,0.01381063625120242,0.12889927167788923,0.3993973577452137,0.395815189571625,1162
768,0.4532754421234131,0.00743765076495582,0.11082725524902344,0.0019922462896461808,balanced,gini,6,log2,100,-1,99,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 100, 'n_jobs': -1, 'random_state': 99}",0.9936791480590862,0.10903469598076262,0.7515630367571281,0.01381063625120242,0.1289679813109798,0.3994110996718318,0.39580579925171067,1075
769,0.45029420852661134,0.00786873330370482,0.10979032516479492,0.0024649294918476753,balanced,gini,6,log2,100,-1,1008,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 100, 'n_jobs': -1, 'random_state': 1008}",0.9936791480590862,0.10903469598076262,0.7515630367571281,0.01381063625120242,0.12889927167788923,0.3993973577452137,0.395815189571625,1162
770,0.6865434646606445,0.014010086060070174,0.18224716186523438,0.0014612238442245518,balanced,gini,6,log2,200,-1,0,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 0}",0.9936791480590862,0.10903469598076262,0.7515630367571281,0.01381063625120242,0.1289679813109798,0.3994110996718318,0.39580579925171067,1075
771,0.695991849899292,0.0031316521708644306,0.18621034622192384,0.004296981976411691,balanced,gini,6,log2,200,-1,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 10}",0.9936791480590862,0.10903469598076262,0.7515630367571281,0.01381063625120242,0.12992991617424762,0.39960348664448536,0.39567451182334396,880
772,0.6917728424072266,0.016791449686927945,0.18712396621704103,0.0021273983303480197,balanced,gini,6,log2,200,-1,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",0.9936791480590862,0.10951563036757128,0.7515630367571281,0.01381063625120242,0.12889927167788923,0.39949354462257547,0.3957446691337836,943
773,0.6895837783813477,0.007973296085137114,0.1862105369567871,0.007546219097107916,balanced,gini,6,log2,200,-1,99,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 99}",0.9936791480590862,0.10903469598076262,0.7515630367571281,0.01381063625120242,0.1289679813109798,0.3994110996718318,0.39580579925171067,1075
774,0.700139331817627,0.007268533804758877,0.18796076774597167,0.005812649061093592,balanced,gini,6,log2,200,-1,1008,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 1008}",0.9936791480590862,0.10903469598076262,0.7515630367571281,0.01381063625120242,0.1289679813109798,0.3994110996718318,0.39580579925171067,1075
775,0.9456227779388428,0.017738432379334854,0.26663360595703123,0.002668106339881628,balanced,gini,6,log2,300,-1,0,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 300, 'n_jobs': -1, 'random_state': 0}",0.9936791480590862,0.10903469598076262,0.7515630367571281,0.01381063625120242,0.12992991617424762,0.39960348664448536,0.39567451182334396,880
776,0.926947832107544,0.04866830567723687,0.26453518867492676,0.002640660753759246,balanced,gini,6,log2,300,-1,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 300, 'n_jobs': -1, 'random_state': 10}",0.9936791480590862,0.10903469598076262,0.7515630367571281,0.01381063625120242,0.12992991617424762,0.39960348664448536,0.39567451182334396,880
